,fecha,Menor 1 año,1 a 4 años,5 a 14,15 a 44,45 a 64,65 a 84,85 y más ,total_defunciones
2526,2023-11-17,1.0,,1.0,9.0,16.0,49.0,33.0,109.0
2527,2023-11-18,2.0,,,6.0,13.0,49.0,37.0,107.0
2528,2023-11-19,,,,11.0,23.0,56.0,40.0,130.0
2529,2023-11-20,1.0,,1.0,12.0,27.0,59.0,27.0,127.0
2530,2023-11-21,1.0,,,7.0,33.0,57.0,41.0,139.0
2531,2023-11-22,2.0,,,7.0,28.0,42.0,33.0,112.0
2532,2023-11-23,4.0,,,17.0,24.0,49.0,32.0,126.0
2533,2023-11-24,1.0,1.0,,8.0,24.0,67.0,28.0,129.0
2534,2023-11-25,,,,5.0,24.0,43.0,44.0,116.0
2535,2023-11-26,1.0,,,8.0,18.0,47.0,39.0,113.0
2536,2023-11-27,1.0,,1.0,7.0,21.0,65.0,45.0,140.0
2537,2023-11-28,1.0,,1.0,8.0,20.0,57.0,27.0,114.0
2538,2023-11-29,1.0,,,8.0,14.0,53.0,33.0,109.0
2539,2023-11-30,3.0,1.0,,9.0,22.0,48.0,47.0,130.0
2540,2023-12-01,,,,4.0,18.0,44.0,29.0,95.0
2541,2023-12-02,,1.0,,5.0,20.0,51.0,39.0,116.0
2542,2023-12-03,,,,6.0,20.0,51.0,34.0,111.0
2543,2023-12-04,1.0,,,10.0,16.0,49.0,32.0,108.0
2544,2023-12-05,,,2.0,6.0,27.0,48.0,36.0,119.0
2545,2023-12-06,,1.0,,7.0,22.0,47.0,32.0,109.0
2546,2023-12-07,,,,7.0,22.0,49.0,33.0,111.0
2547,2023-12-08,1.0,,,13.0,20.0,49.0,29.0,112.0
2548,2023-12-09,,1.0,,12.0,20.0,47.0,36.0,116.0
2549,2023-12-10,2.0,,,11.0,26.0,54.0,33.0,126.0
2550,2023-12-11,1.0,,,8.0,15.0,54.0,28.0,106.0
2551,2023-12-12,1.0,1.0,,9.0,25.0,49.0,30.0,115.0
2552,2023-12-13,2.0,,,1.0,22.0,48.0,48.0,121.0
2553,2023-12-14,,,5.0,4.0,24.0,58.0,40.0,131.0
2554,2023-12-15,1.0,,1.0,8.0,9.0,45.0,24.0,88.0
2555,2023-12-16,,,,6.0,20.0,54.0,22.0,102.0
